Vehicle Number,Registration Year,FC Validity,Service Required Every (KM),Container Type,Container Size (ft),Goods Carried,Assigned Route,Trip Date,Name,Mobile Number,Driving License Number,Experience(yrs),Trip count,Km,MINs
MH09SF8999,2018,2022,10000,Dry Van,20,Clothing,Latoyaside to Carolynbury,10-06-2021,Edward Horne,343-989-5582,CD2027869,27,256,11264,11264
MH92SB3478,2013,2024,5000,Refrigerated,20,Electronics,New Larry to Kingfort,19-03-2020,Raymond Middleton,357.501.3003,SF6862316,25,4,100,200
MH45MT6588,2016,2027,20000,Refrigerated,20,Food,East Wyattland to Ingrambury,18-04-2020,Jonathan Sandoval,490-193-7822x828,PM3569801,21,334,10688,10688
MH35HY8152,2019,2021,10000,Dry Van,20,Chemicals,Ambermouth to Lake Julieberg,20-04-2020,Marcus Bolton,863-081-9935x60046,QB5121435,25,398,15522,15522
MH06ZN7074,2009,2016,20000,Dry Van,20,Chemicals,Dennisville to West Patriciamouth,09-03-2014,Antonio Chen,421.189.9639x81680,GM2194389,28,43,1892,3784
MH75TV6594,2011,2012,10000,Refrigerated,20,Food,East Patriciahaven to Maciasland,30-12-2012,Alison Miller,+1-204-950-7035x394,RO7338947,6,216,6912,6912
MH79CD9332,2015,2024,10000,Flatbed,40,Clothing,Jaredchester to Ryanville,28-11-2019,Theresa Coleman,9681140001,SM8905218,20,153,7344,7344
MH10VU6848,2013,2026,5000,Refrigerated,20,Chemicals,Michaelchester to East Sandrashire,18-06-2017,Hayley Glover,001-900-304-1367x52333,VY4123177,14,197,5319,10638
MH68QX7338,2022,2028,20000,Refrigerated,20,Furniture,New Joshua to Jesusview,03-04-2023,Robin Haas,017.488.5219x01014,RL4394494,8,73,2701,5402
MH81ER8648,2005,2007,10000,Refrigerated,40,Food,East Chase to Buckmouth,28-04-2011,Angel Smith,+1-794-006-7089x4712,OX7616962,8,473,12771,25542
MH67EX6190,2020,2032,20000,Refrigerated,20,Food,West Duaneville to New Brittany,14-03-2022,Tim Walker,001-494-189-2158x57195,RB5873556,24,63,2268,2268
MH98PZ9156,2017,2029,10000,Dry Van,40,Clothing,North Steventown to Phelpston,21-09-2022,Lee Johnson,2221958527,UR3311279,20,460,16560,33120
MH77MI2208,2018,2021,20000,Dry Van,20,Clothing,New Thomaschester to Ryanville,28-11-2023,Kyle Munoz,094.781.2279x41705,ZP7672920,13,222,2886,2886
MH53RN8395,2009,2020,10000,Tanker,20,Clothing,East Katherinefurt to Jenkinsland,25-07-2009,Adam Long,+1-252-047-5595x15633,MK1092865,13,297,14850,14850
MH57YA2378,2010,2024,10000,Tanker,40,Furniture,Samanthaton to East Melissa,26-11-2019,Michael Roach,001-095-662-1129x07719,RO8878483,18,236,3540,3540
MH81JS6517,2007,2016,15000,Tanker,40,Food,Lake Alexandra to East Travis,24-12-2013,Cindy Velez,(662)052-8310x28830,EH3938966,21,385,18095,18095
MH66FP8246,2022,2030,20000,Tanker,40,Electronics,South Kevinbury to Westfort,07-07-2023,Bryan Carlson,713-256-0150x8129,MJ3790223,4,439,7902,7902
MH61QZ2302,2007,2021,5000,Refrigerated,40,Furniture,Leeshire to Deborahborough,03-12-2010,Timothy Riddle,(744)715-0605,KB9218599,27,48,2304,4608
MH55QZ5357,2011,2024,10000,Flatbed,40,Chemicals,Claytonborough to Chadtown,27-05-2021,Jeffery Wilcox,-4101,NJ9360357,20,389,8947,8947
MH95YR1323,2021,2029,10000,Dry Van,40,Food,Michaelshire to Garciatown,28-12-2024,Patrick Padilla,029-766-6988x3328,MA6517121,20,11,473,946
MH71RI1325,2013,2015,15000,Dry Van,40,Electronics,Barrystad to Lake David,25-04-2018,Kenneth Nelson,(101)784-0696,QT9436364,28,477,22896,22896
MH26JE7813,2009,2013,5000,Refrigerated,20,Furniture,West Davidtown to North Sarah,08-12-2024,Bruce Potter,(477)092-2999x1697,RN3412906,6,354,9558,19116
MH22JU5200,2022,2028,20000,Refrigerated,20,Electronics,Browntown to Port Katherine,01-12-2023,Susan Richmond,530-563-8216,MX4506419,16,322,14490,28980
MH63GL7591,2020,2035,5000,Dry Van,20,Furniture,Port Andreafort to West Timothy,06-09-2023,Jessica Morris,018-877-2188x5285,XB4986718,12,196,5096,5096
MH69EO6969,2006,2011,20000,Dry Van,40,Food,Wallacemouth to North Jessica,24-05-2014,Heather Elliott,8857982807,XH1330981,24,38,1140,2280
MH55OR3403,2011,2019,15000,Tanker,20,Food,South Gabrielle to West Caitlinport,24-10-2011,Thomas Shelton,001-644-783-0862,PW6473503,4,457,9597,19194
MH57AL9730,2011,2019,5000,Tanker,20,Furniture,Port Lisa to New Keith,06-06-2021,Chase Phillips Jr.,172-977-2886x42863,OK1591418,7,500,6500,6500
MH12RF7467,2008,2017,20000,Refrigerated,40,Chemicals,Mcmahonview to Monroemouth,15-08-2019,Christopher Hodges,+1-103-160-4357x800,HZ5294341,14,318,4770,9540
MH64PG4540,2014,2016,20000,Flatbed,20,Clothing,North Ashleyberg to New Joanne,07-12-2023,Veronica Lewis,036-212-3371,UF2231924,20,233,8621,8621
MH23WX1266,2022,2023,5000,Refrigerated,40,Furniture,Lake Heatherhaven to Brianville,28-09-2024,Ashley Mclean,7659041923,QZ9940579,24,117,1989,1989
MH50OU1162,2022,2028,15000,Flatbed,40,Clothing,Adammouth to Stephensburgh,01-03-2023,Mark Vasquez,433-227-2149,DC8842795,16,258,5418,5418
MH99QC9951,2012,2024,20000,Refrigerated,40,Food,Raytown to East Reneetown,12-12-2024,Jose Ramirez,001-990-915-3226x9628,ZK7048002,21,52,1872,3744
